gen,gensd,train,trainsd,m0,m0sd,m1,m1sd,m2,m2sd,q0,q0sd,q1,q1sd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0.16728668,0.062007707,7.826655e-08,1.6350347e-08,-0.012308438,0.27221838,1.0485005,0.14098671,0.000999835,0.008140291,0.16273569,0.024487717,1.2704796,0.18908139,1000,100,100,0.1,1.0,20,0.0001,auto,5.872634,9.830632,1.0070108,0.22492617
0.075152755,0.014408611,8.134967e-08,1.5465238e-08,0.0014270125,0.1410992,1.1138415,0.14988011,0.0017913021,0.006251947,0.17665644,0.02094405,1.3460668,0.184231,1000,100,127,0.1,1.0,20,0.0001,auto,0.037690107,0.016675279,0.93571675,0.12142057
0.044969194,0.008973148,9.720444e-08,1.41592515e-08,-0.049147233,0.084609024,1.1760085,0.1587707,0.00019286564,0.010836589,0.20472172,0.025876006,1.4607166,0.20075935,1000,100,162,0.1,1.0,20,0.0001,auto,0.016489979,0.004191435,0.93129605,0.110443234
0.031592075,0.0063080103,1.4699322e-07,2.1365407e-08,0.049460318,0.112217546,1.2401134,0.13795243,0.0028515684,0.009770906,0.24558437,0.024801036,1.5714443,0.18154226,1000,100,206,0.1,1.0,20,0.0001,auto,0.009617931,0.0022653816,0.9445757,0.16778195
0.024413113,0.0045136996,2.0075105e-07,2.9798167e-08,0.018575529,0.10948396,1.2002889,0.16588846,-0.00043664055,0.011653666,0.28051308,0.04010396,1.5349627,0.20445932,1000,100,263,0.1,1.0,20,0.0001,auto,0.0057384027,0.0012395923,0.9006376,0.17362471
0.025278449,0.0041352045,3.0858504e-07,3.9046466e-08,0.0067921304,0.08627703,1.2588465,0.18332843,-0.0022636037,0.01584211,0.3514454,0.04172874,1.6218054,0.22965436,1000,100,335,0.1,1.0,20,0.0001,auto,0.004293404,0.0008723194,0.90696394,0.15082596
0.02694386,0.0031800591,5.387803e-07,8.315421e-08,-0.0037235504,0.07497344,1.3554434,0.22160798,-0.0032315564,0.013617569,0.4743651,0.054016516,1.7574768,0.2866911,1000,100,428,0.1,1.0,20,0.0001,auto,0.0032020218,0.00042940833,0.96011335,0.17326349
0.032892648,0.005652805,1.1679375e-06,2.1952309e-07,-0.0061583207,0.12615345,1.224867,0.13518247,0.0025016216,0.015160432,0.6556617,0.07121326,1.5913452,0.1664947,1000,100,545,0.1,1.0,20,0.0001,auto,0.0021882425,0.00031772893,0.85917914,0.10786543
0.0487058,0.0056220917,4.0402597e-06,7.880657e-07,-0.008903093,0.09802399,1.3283159,0.17547648,0.0075547504,0.017693615,1.1208553,0.105605096,1.7359362,0.23051979,1000,100,695,0.1,1.0,20,0.0001,auto,0.0017472722,0.0002955622,0.893785,0.12789208
0.10321357,0.009918126,4.6518282e-05,1.1671992e-05,-0.03370384,0.16976342,1.2539706,0.13961561,-0.0058913105,0.033926494,2.6561124,0.2712764,1.6550177,0.18196972,1000,100,885,0.1,1.0,20,0.0001,auto,0.0012766769,0.00019423824,0.793719,0.08677385
