,gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
3,0.19917001,0.0032759877,0.012750002,0.0011182575,0.88677996,0.101114444,2.8832287999999995,0.21505575,10000,30,5011,0.0,0.70710677,10,1e-08,auto,0.23877999,0.014934046000000001,0.056879997,0.0035807258
4,0.22788000000000003,0.0058080615,0.0076099997,0.0010367739,0.89428675,0.14996691,2.9451435,0.17386287,10000,30,5843,0.0,0.70710677,10,1e-08,auto,0.24442999,0.014081551999999999,0.054870002,0.0039128126
5,0.25908000000000003,0.0059759190000000005,0.0029,0.000678233,0.9504665000000001,0.14634445,2.9547715,0.25554570000000004,10000,30,6812,0.0,0.70710677,10,1e-08,auto,0.24219999,0.01862198,0.055729996,0.0033737365
6,0.30023998,0.008135626,0.00045,0.00020124612,1.0105256,0.16571875,3.0225162999999995,0.15901773,10000,30,7943,0.0,0.70710677,10,1e-08,auto,0.24028000000000002,0.015321996000000001,0.056069992,0.0030278866
7,0.37690997,0.005286863,1e-05,3.0000001000000004e-05,1.18408,0.23351306,3.0257218,0.28233892,10000,30,9261,0.0,0.70710677,10,1e-08,auto,0.23378000000000002,0.018339075,0.0552,0.0022503335
8,0.38213998,0.004997842,0.0,0.0,1.0060046,0.25068232,3.0027904999999997,0.36098158,10000,30,10797,0.0,0.70710677,10,1e-08,auto,0.24386999,0.023125527000000003,0.056760005999999995,0.005007634
9,0.31390999999999997,0.0064127184,0.0,0.0,1.1036013,0.13429871,2.9737419999999997,0.28142315,10000,30,12589,0.0,0.70710677,10,1e-08,auto,0.23691002,0.019563204,0.054800004000000006,0.0024758835999999997
10,0.27423000000000003,0.0073906756,0.0,0.0,1.0719588,0.20736799,3.1631717999999998,0.26593906,10000,30,14677,0.0,0.70710677,10,1e-08,auto,0.24656,0.019472761,0.057060003,0.002881388
11,0.24971998,0.006593605,0.0,0.0,1.0950886999999998,0.2628616,3.0856376,0.28220120000000004,10000,30,17113,0.0,0.70710677,10,1e-08,auto,0.24175999,0.025250077000000003,0.058120000000000005,0.0035484640000000003
12,0.23340999999999998,0.0036280685999999997,0.0,0.0,1.0652385,0.16055241,3.1083076000000003,0.20712812,10000,30,19952,0.0,0.70710677,10,1e-08,auto,0.24672,0.016875591000000002,0.057479996,0.0022422313
13,0.21529,0.005458101999999999,0.0,0.0,1.0362653,0.17557971,3.0862567000000003,0.36890668,10000,30,23263,0.0,0.70710677,10,1e-08,auto,0.24161999,0.023828917999999998,0.057380002,0.0024697364000000003
14,0.20332999999999998,0.0034246314,0.0,0.0,1.13483,0.1641638,2.9814613,0.29011855,10000,30,27122,0.0,0.70710677,10,1e-08,auto,0.23417,0.0173085,0.05511,0.0027980169
1,0.42992195,0.030499187999999997,0.42813998,0.029896514,0.07352677,0.055114944000000006,-0.00018024161,0.009868641,10000,30,3,0.0,0.70710677,50,1e-08,auto,0.243274,0.02091406,0.056822005999999994,0.0030615872
2,0.42630595,0.030708799999999998,0.42552403,0.029372147999999997,0.08009342,0.05943996,0.0005631132,0.010075466,10000,30,4,0.0,0.70710677,50,1e-08,auto,0.242596,0.024579427999999997,0.056074,0.0027783313
4,0.41019797,0.026466556000000002,0.40926796,0.025888437,0.112230815,0.059156362000000004,0.003187383,0.011902656999999999,10000,30,5,0.0,0.70710677,50,1e-08,auto,0.23999600000000001,0.02096455,0.056670000000000005,0.0032541209999999996
5,0.40608197,0.028823302999999998,0.40587205,0.027819327999999997,0.123517066,0.07596209,0.0070626890000000005,0.012245653,10000,30,6,0.0,0.70710677,50,1e-08,auto,0.24247204,0.019959161,0.055804003,0.0033752013
6,0.396954,0.026264747999999997,0.396748,0.025321313999999998,0.14449781,0.06876681,0.0030107190000000002,0.014773794,10000,30,7,0.0,0.70710677,50,1e-08,auto,0.23744598,0.018876176,0.056010004,0.0036309909999999996
7,0.379632,0.031029755,0.37737,0.029427076,0.2051099,0.09702273,0.0026989644,0.021372968,10000,30,9,0.0,0.70710677,50,1e-08,auto,0.24090799999999998,0.020499706,0.05695801,0.0036067770000000002
8,0.37209594,0.02788187,0.37141599999999997,0.028739097999999998,0.21603617,0.08700521,0.005818816,0.022311095,10000,30,10,0.0,0.70710677,50,1e-08,auto,0.24091801,0.01935798,0.055748,0.0032874453000000005
9,0.36629596,0.024803832,0.36338398,0.023896256,0.23444206,0.08626941,0.0036037844,0.023652278,10000,30,12,0.0,0.70710677,50,1e-08,auto,0.247462,0.02122082,0.055116005,0.0026376776
10,0.34565398,0.027831703,0.345138,0.028160166,0.30784416,0.10706508,0.0040205237,0.027238956,10000,30,14,0.0,0.70710677,50,1e-08,auto,0.238364,0.018772094,0.055838004000000004,0.0032382025
11,0.33123398,0.030026134,0.33014405,0.028151322000000003,0.35641158,0.11667311,0.006419839,0.028642242999999998,10000,30,17,0.0,0.70710677,50,1e-08,auto,0.24321802,0.022727128,0.056305999999999995,0.0034543541
12,0.32278398,0.028194637999999998,0.319472,0.027541801,0.39270574,0.11429151,0.0174027,0.032194387000000005,10000,30,19,0.0,0.70710677,50,1e-08,auto,0.24051799999999998,0.020135747,0.055836000000000004,0.0027990544
13,0.298982,0.020441793,0.29892199999999997,0.020254476,0.47622907,0.09986755,0.012796896,0.0401019,10000,30,23,0.0,0.70710677,50,1e-08,auto,0.24043399,0.018788675,0.05594400000000001,0.0031259023
14,0.283302,0.02718639,0.281102,0.026199985,0.5660119,0.14103973,0.018531965,0.043099575,10000,30,27,0.0,0.70710677,50,1e-08,auto,0.23528801,0.022422602000000003,0.056548003,0.003064131
