gen,gensd,train,trainsd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,time
0.22090907,0.08785737,0.0,0.0,166,10,33,0.0,1.0,100,1e-08,cholesky,,,,,0.03378012966364622
0.2357143,0.050366968,0.0,0.0,457,14,91,0.0,1.0,100,1e-08,cholesky,,,,,0.03032270284369588
0.22622809,0.036083356,0.0,0.0,1143,19,228,0.0,1.0,100,1e-08,cholesky,,,,,0.04338742330670357
0.2177391,0.02228387,0.0,0.0,2304,24,460,0.0,1.0,100,1e-08,cholesky,,,,,0.08949716841802001
0.20821428,0.016478786,0.0,0.0,4064,29,812,0.0,1.0,100,1e-08,cholesky,,,,,0.2111853078007698
0.19957249,0.012391512,0.0,0.0,6550,34,1310,0.0,1.0,100,1e-08,cholesky,,,,,0.5130400229990483
0.19112082,0.010704882,0.0,0.0,9145,38,1829,0.0,1.0,100,1e-08,cholesky,,,,,1.082935570348054
