gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,a
0.41745004,0.050640866,0.40114993,0.043031123,0.08705373,0.06971665,0.0020559605,0.015094306000000002,200,30,3,0.0,1.0,200,0.0001,auto,0.09665,0.023006031,0.3351,0.036561456,1.0
0.38947502,0.051731024,0.358375,0.04600255,0.15688407,0.09704326,-0.00034056019999999997,0.020820644,200,30,5,0.0,1.0,200,0.0001,auto,0.098075,0.023699565,0.33872497,0.036653776,1.0
0.36712494,0.05087838,0.3379,0.047022227,0.20956822,0.11366401,0.000547097,0.023166275,200,30,6,0.0,1.0,200,0.0001,auto,0.09622499,0.025261122999999996,0.332175,0.03399109,1.0
0.36915,0.053195648,0.3328,0.04748589,0.21577038,0.10461947,-0.0013832864000000002,0.025990581000000002,200,30,7,0.0,1.0,200,0.0001,auto,0.093224995,0.026692217,0.33235002,0.039547157,1.0
0.338675,0.052724466,0.29852498,0.043109737,0.3043923,0.11320691599999999,0.0017182252,0.031960074,200,30,10,0.0,1.0,200,0.0001,auto,0.09524999599999999,0.027693635,0.34437495,0.03369695,1.0
0.319575,0.048352294000000004,0.27234998,0.044611964000000004,0.37208214,0.13032593,-0.0017726534,0.033040475,200,30,12,0.0,1.0,200,0.0001,auto,0.09509999,0.02274291,0.33655003,0.03771402,1.0
0.29494998,0.046997316,0.24185002,0.041660264,0.44906184,0.13970529,-0.0026255947999999996,0.043961387000000005,200,30,15,0.0,1.0,200,0.0001,auto,0.09495,0.024207385,0.331925,0.034744345,1.0
0.26727498,0.04653439,0.21147498,0.045909684000000006,0.5435001,0.1509831,0.0040940153,0.04328212,200,30,19,0.0,1.0,200,0.0001,auto,0.099775,0.024961457000000003,0.3377,0.032595400000000004,1.0
0.22379996,0.04019092,0.15364999,0.035084575,0.71893084,0.14030033,0.0005741425,0.05592623,200,30,25,0.0,1.0,200,0.0001,auto,0.09902499,0.025405204,0.334725,0.035437263999999996,1.0
0.19352499,0.040080532,0.11112499,0.029801163999999998,0.81265235,0.13312694,0.0024655952999999998,0.070495725,200,30,31,0.0,1.0,200,0.0001,auto,0.09724999,0.025660038,0.33265,0.03522396,1.0
0.168125,0.03378771,0.0784,0.023188142000000002,0.9167941999999999,0.14266632,-0.004133188,0.065054215,200,30,39,0.0,1.0,200,0.0001,auto,0.09185,0.024714924,0.334625,0.035192106,1.0
0.161875,0.03283838,0.053849988,0.018504797,0.98031855,0.11905373,0.009146902,0.069375075,200,30,50,0.0,1.0,200,0.0001,auto,0.0945,0.02317326,0.33414996,0.03846138,1.0
0.16565001,0.030835489,0.037299993999999996,0.013764446999999999,0.9898617000000001,0.1553372,0.0061594530000000005,0.08502501,200,30,63,0.0,1.0,200,0.0001,auto,0.094775,0.025938857000000003,0.337175,0.033247475,1.0
0.18495,0.032893732,0.026174996000000002,0.010862522,0.9928752000000001,0.16248009,-0.004688418,0.101445496,200,30,79,0.0,1.0,200,0.0001,auto,0.09667498599999999,0.022345455,0.336375,0.036262712999999995,1.0
0.21032497,0.031627033,0.014449998,0.00854093,1.0291115,0.15048859,0.0013379682,0.12139512599999999,200,30,100,0.0,1.0,200,0.0001,auto,0.096499994,0.02281447,0.34015,0.03832724,1.0
0.24367501,0.03835843,0.0068,0.006615134399999999,1.0499851999999998,0.16357248,0.01591926,0.16870575,200,30,125,0.0,1.0,200,0.0001,auto,0.09602499,0.024881205,0.33560002,0.03648822,1.0
0.29584998,0.042729117000000004,0.00072499993,0.001961982,1.0840669,0.18922181,0.013509723000000001,0.23531792,200,30,158,0.0,1.0,200,0.0001,auto,0.09582499400000001,0.026630703,0.3336,0.034713686,1.0
0.35442498,0.042485815,0.0,0.0,1.0425786,0.21838725,-0.011636551,0.38191816,200,30,199,0.0,1.0,200,0.0001,auto,0.09577499,0.024779515,0.33415002,0.035295576,1.0
0.31442496,0.038033462999999997,0.0,0.0,1.0695814,0.20889316,-0.021115812,0.25442489999999995,200,30,251,0.0,1.0,200,0.0001,auto,0.09702499,0.024454537999999998,0.33655003,0.03614343,1.0
0.26789996,0.037034985,0.0,0.0,1.0563022,0.16490394,-0.0029061907,0.20375994,200,30,316,0.0,1.0,200,0.0001,auto,0.095075,0.026117414,0.33355,0.035516158,1.0
0.235725,0.03557175,0.0,0.0,1.0724041000000002,0.16951396,-0.0030620929999999997,0.1685295,200,30,398,0.0,1.0,200,0.0001,auto,0.0922,0.021997955,0.32900003,0.031823732,1.0
